ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
CC,CLIP enrichment,Negative,1,GO:0000139,Golgi membrane,481,-0.01794415853437205,4.749247990115722e-22,21.323375152395897
CC,CLIP enrichment,Negative,2,GO:0016324,apical plasma membrane,275,-0.01982272210566181,2.5214806466912176e-11,10.598344360864937
CC,CLIP enrichment,Negative,3,GO:0022626,cytosolic ribosome,100,-1.3988876166896085,1.44628131494544e-9,8.839747224575529
CC,CLIP enrichment,Negative,4,GO:0031012,extracellular matrix,215,-0.02257530579556072,2.6859616698912682e-9,8.570900189237479
CC,CLIP enrichment,Negative,5,GO:0045211,postsynaptic membrane,167,-0.00369353828190753,5.012362847681216e-7,6.299957497725407
CC,CLIP enrichment,Negative,6,GO:0022625,cytosolic large ribosomal subunit,55,-1.5484821944202594,7.483844820584901e-7,6.125875226284586
CC,CLIP enrichment,Negative,7,GO:0005840,ribosome,197,-1.036688178977997,9.211425607422884e-7,6.03567315096227
CC,CLIP enrichment,Negative,8,GO:0005743,mitochondrial inner membrane,470,-0.80041413139827855,5.303722890174281e-5,4.275419175103302
CC,CLIP enrichment,Negative,9,GO:0005764,lysosome,397,-0.3135666803771138,2.9733355428579065e-4,3.5267560776135034
CC,CLIP enrichment,Negative,10,GO:0070161,anchoring junction,310,-0.25171247987118683,3.640175872631702e-4,3.4388776332003124
CC,CLIP enrichment,Negative,11,GO:0005911,cell-cell junction,181,-0.16276297085683877,3.640175872631702e-4,3.4388776332003124
CC,CLIP enrichment,Negative,12,GO:1990904,ribonucleoprotein complex,373,-0.8273738637917756,4.982510897324878e-4,3.3025517427744115
CC,CLIP enrichment,Negative,13,GO:0005759,mitochondrial matrix,261,-0.7779933458209266,0.00189583121670368,2.7222003299289157
CC,CLIP enrichment,Negative,14,GO:0043209,myelin sheath,165,-0.905958998611852,0.00216840048883606,2.663860503485716
CC,CLIP enrichment,Negative,15,GO:0045121,membrane raft,151,-0.19038973000235676,0.00218353302860845,2.6608402344575905
CC,CLIP enrichment,Positive,1,GO:0009986,cell surface,438,0.16411573826077688,7.464934615647625e-33,32.12697399184891
CC,CLIP enrichment,Positive,2,GO:0009897,external side of plasma membrane,180,0.26041864489571936,1.909807453999252e-16,15.719010415935962
CC,CLIP enrichment,Positive,3,GO:0005788,endoplasmic reticulum lumen,90,0.5357616834141383,1.7792931499187252e-15,14.74975249322937
CC,CLIP enrichment,Positive,4,GO:0043235,receptor complex,119,0.29834729853459857,1.2831003116814299e-11,10.891739389527846
CC,CLIP enrichment,Positive,5,GO:0016323,basolateral plasma membrane,192,0.08046416795955819,1.5835560621931773e-11,10.800366556813604
CC,CLIP enrichment,Positive,6,GO:0005604,basement membrane,77,0.1756265758575759,1.3497643701606893e-7,6.869742040149908
CC,CLIP enrichment,Positive,7,GO:0042734,presynaptic membrane,106,0.01173009728422953,4.5991213152447374e-5,4.337325134490656
CC,CLIP enrichment,Positive,8,GO:0034663,endoplasmic reticulum chaperone complex,10,1.4022514755793931,5.687163702179444e-5,4.245104270617187
CC,CLIP enrichment,Positive,9,GO:0043505,CENP-A containing nucleosome,12,1.7155132121327592,9.70537694774588e-5,4.0129875923573435
CC,CLIP enrichment,Positive,10,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,76,0.0706009876946781,1.2192669538257518e-4,3.9139011968585775
CC,CLIP enrichment,Positive,11,GO:0098552,side of membrane,57,0.17786943606457598,2.1059566174455425e-4,3.6765505794933957
CC,CLIP enrichment,Positive,12,GO:0032580,Golgi cisterna membrane,57,0.2051506462528197,2.9733355428579065e-4,3.5267560776135034
CC,CLIP enrichment,Positive,13,GO:0009925,basal plasma membrane,51,0.16062637381468042,2.9733355428579065e-4,3.5267560776135034
CC,CLIP enrichment,Positive,14,GO:1990531,phospholipid-translocating ATPase complex,10,1.1163620461341364,2.9733355428579065e-4,3.5267560776135034
CC,CLIP enrichment,Positive,15,GO:0030315,T-tubule,41,0.2472743745788844,4.084456475211965e-4,3.3888657275088674
CC,Ribosome density change,Negative,1,GO:0016607,nuclear speck,376,-0.5042390819781943,3.3904831686812048e-28,27.469738407242442
CC,Ribosome density change,Negative,2,GO:0000785,chromatin,438,-0.45499704575553296,1.850134877442617e-23,22.73279660976247
CC,Ribosome density change,Negative,3,GO:0005681,spliceosomal complex,172,-0.5530365775352046,6.835706256870307e-16,15.165216607999467
CC,Ribosome density change,Negative,4,GO:0005874,microtubule,313,-0.4392718355459584,1.6740944261357276e-14,13.776220049572665
CC,Ribosome density change,Negative,5,GO:0005667,transcription regulator complex,202,-0.48476359483477954,1.8329834632685299e-13,12.73684145311941
CC,Ribosome density change,Negative,6,GO:0005819,spindle,212,-0.4796169435208816,1.8329834632685299e-13,12.73684145311941
CC,Ribosome density change,Negative,7,GO:0071013,catalytic step 2 spliceosome,88,-0.6362645183389134,1.2846552781372544e-11,10.891213394424154
CC,Ribosome density change,Negative,8,GO:0016604,nuclear body,332,-0.39500536559889865,2.4936246754478256e-11,10.603168913186378
CC,Ribosome density change,Negative,9,GO:0000776,kinetochore,160,-0.4785876262403899,1.63809040050576e-9,8.785662134713897
CC,Ribosome density change,Negative,10,GO:0015629,actin cytoskeleton,202,-0.43713125232157074,1.7980684434759511e-9,8.745193780868536
CC,Ribosome density change,Negative,11,GO:0010494,cytoplasmic stress granule,90,-0.5501977925935765,1.8934899566768855e-9,8.722736994092864
CC,Ribosome density change,Negative,12,GO:0016363,nuclear matrix,115,-0.5272827411277978,2.8525311821405103e-9,8.54476959943997
CC,Ribosome density change,Negative,13,GO:0043209,myelin sheath,165,-0.4550576645848973,9.052751504552458e-9,8.043219400725587
